seed,train_start,train_end,eval_start,eval_end,auc
42,0,3,0,3,0.7411526794742164
42,0,3,3,6,0.8603988603988604
42,0,3,6,9,0.83125
42,0,3,9,12,0.7681704260651628
42,3,6,3,6,0.8632478632478632
42,3,6,6,9,0.8294642857142858
42,3,6,9,12,0.7543859649122807
42,6,9,6,9,0.8392857142857143
42,6,9,9,12,0.768796992481203
42,9,12,9,12,0.775062656641604
123,0,3,0,3,0.7360970677451971
123,0,3,3,6,0.8646723646723646
123,0,3,6,9,0.8169642857142857
123,0,3,9,12,0.7587719298245613
123,3,6,3,6,0.8646723646723645
123,3,6,6,9,0.8312499999999999
123,3,6,9,12,0.7525062656641603
123,6,9,6,9,0.8401785714285713
123,6,9,9,12,0.7662907268170426
123,9,12,9,12,0.7713032581453634
777,0,3,0,3,0.7421638018200203
777,0,3,3,6,0.8646723646723646
777,0,3,6,9,0.8267857142857142
777,0,3,9,12,0.7725563909774437
777,3,6,3,6,0.8632478632478632
777,3,6,6,9,0.8348214285714286
777,3,6,9,12,0.7662907268170426
777,6,9,6,9,0.8455357142857143
777,6,9,9,12,0.7725563909774436
777,9,12,9,12,0.7819548872180451
2024,0,3,0,3,0.7431749241658241
2024,0,3,3,6,0.8646723646723647
2024,0,3,6,9,0.83125
2024,0,3,9,12,0.7650375939849623
2024,3,6,3,6,0.8675213675213675
2024,3,6,6,9,0.8312499999999999
2024,3,6,9,12,0.7575187969924811
2024,6,9,6,9,0.8401785714285714
2024,6,9,9,12,0.7650375939849624
2024,9,12,9,12,0.7662907268170426
9999,0,3,0,3,0.7401415571284126
9999,0,3,3,6,0.8632478632478633
9999,0,3,6,9,0.8294642857142858
9999,0,3,9,12,0.7675438596491229
9999,3,6,3,6,0.8646723646723647
9999,3,6,6,9,0.8330357142857142
9999,3,6,9,12,0.7575187969924813
9999,6,9,6,9,0.8241071428571428
9999,6,9,9,12,0.7687969924812029
9999,9,12,9,12,0.7788220551378445
