train,eval,IRL_AUC_ROC,IRL_AUC_PR,IRL_F1,IRL_threshold,RF_AUC_ROC,RF_AUC_PR,RF_F1,RF_threshold,num_samples,num_positive,diff_AUC_ROC
0-3m,0-3m,0.5854166666666667,0.46500219003420074,0.0,0.40764150619506834,0.8541666666666667,0.8047211450829871,0.7027027027027027,0.6389762676202182,44,20,0.26875000000000004
0-3m,3-6m,0.6181818181818182,0.6595531898174335,0.0,0.40764150619506834,0.7547619047619047,0.7780153008215527,0.6976744186046512,0.6389762676202182,41,20,0.13658008658008658
0-3m,6-9m,0.5434210526315789,0.46457992786071844,0.0,0.40764150619506834,0.8664772727272727,0.913422504842636,0.8095238095238095,0.6389762676202183,38,22,0.3230562200956938
0-3m,9-12m,0.45238095238095244,0.373253415781369,0.0,0.40764150619506834,0.6922196796338672,0.6937871228665249,0.5405405405405406,0.6389762676202182,42,19,0.23983872725291477
3-6m,0-3m,0.6083333333333334,0.4705090452885102,0.0,0.30472695231437685,0.9458333333333333,0.9352288488307892,0.8,0.6667428096350376,44,20,0.3374999999999999
3-6m,3-6m,0.6636363636363636,0.6931833761592409,0.0,0.30472695231437685,0.7452380952380953,0.7693207419796827,0.631578947368421,0.6667428096350376,41,20,0.08160173160173168
3-6m,6-9m,0.5592105263157894,0.46890973793409285,0.0,0.30472695231437685,0.8551136363636362,0.9092080888704499,0.7692307692307693,0.6667428096350376,38,22,0.29590311004784686
3-6m,9-12m,0.5317460317460317,0.4081333463290257,0.0,0.30472695231437685,0.6887871853546911,0.6333819626203143,0.6060606060606061,0.6667428096350376,42,19,0.15704115360865933
6-9m,0-3m,0.59375,0.46298501433910805,0.0,0.22196268141269684,0.95,0.9328748620660385,0.8421052631578947,0.6139579146363328,44,20,0.35624999999999996
6-9m,3-6m,0.6363636363636364,0.6610864824630731,0.0,0.22196268141269684,0.9261904761904762,0.934989783766958,0.8095238095238095,0.6139579146363328,41,20,0.2898268398268399
6-9m,6-9m,0.5486842105263158,0.4619324957268529,0.0,0.22196268141269684,0.8210227272727273,0.8918292099699421,0.7692307692307693,0.6139579146363328,38,22,0.2723385167464115
6-9m,9-12m,0.49603174603174605,0.38925022573509027,0.0,0.22196268141269684,0.6693363844393593,0.6791509374210762,0.5882352941176471,0.6139579146363328,42,19,0.17330463840761323
9-12m,0-3m,0.6020833333333333,0.46959568612577196,0.0,0.20285179167985917,0.9375,0.9240189132333095,0.8205128205128205,0.6157720171601856,44,20,0.3354166666666667
9-12m,3-6m,0.6636363636363637,0.6939314952298126,0.0,0.20285179167985917,0.9214285714285715,0.9308791544725049,0.7804878048780488,0.6157720171601856,41,20,0.2577922077922078
9-12m,6-9m,0.5486842105263157,0.461635544360292,0.0,0.20285179167985917,0.9744318181818181,0.9831929434202161,0.9047619047619048,0.6157720171601857,38,22,0.42574760765550246
9-12m,9-12m,0.5198412698412699,0.4006882655299076,0.0,0.20285179167985917,0.6830663615560641,0.675928755659231,0.5555555555555556,0.6157720171601857,42,19,0.16322509171479427
