history_months,target_months,reference_period_months,target_reviewer_count,sequence_mode,seq_len,train_samples,test_samples,auc_roc,auc_pr,accuracy,precision,recall,f1,model_path
3,3,6,306,True,15,182,46,0.726923076923077,0.775939108658647,0.6956521739130435,0.7727272727272727,0.6538461538461539,0.7083333333333334,importants/irl_matrix_2022q4/models/irl_h3m_t3m_fixed_seq.pth
3,6,6,306,True,15,182,46,0.9007936507936508,0.9542736321023488,0.7608695652173914,0.7575757575757576,0.8928571428571429,0.819672131147541,importants/irl_matrix_2022q4/models/irl_h3m_t6m_fixed_seq.pth
3,9,6,306,True,15,182,46,0.8770833333333333,0.9459816458869994,0.7608695652173914,0.7567567567567568,0.9333333333333333,0.835820895522388,importants/irl_matrix_2022q4/models/irl_h3m_t9m_fixed_seq.pth
3,12,6,306,True,15,182,46,0.8520833333333333,0.9306852455659356,0.6521739130434783,0.6521739130434783,1.0,0.7894736842105263,importants/irl_matrix_2022q4/models/irl_h3m_t12m_fixed_seq.pth
6,3,6,306,True,15,244,62,0.8589341692789968,0.8630770629516977,0.7580645161290323,0.8888888888888888,0.5517241379310345,0.6808510638297872,importants/irl_matrix_2022q4/models/irl_h6m_t3m_fixed_seq.pth
6,6,6,306,True,15,244,62,0.8518518518518517,0.896483915495459,0.7903225806451613,0.8928571428571429,0.7142857142857143,0.7936507936507936,importants/irl_matrix_2022q4/models/irl_h6m_t6m_fixed_seq.pth
6,9,6,306,True,15,244,62,0.8258547008547009,0.8954011464792839,0.7580645161290323,0.9565217391304348,0.6111111111111112,0.7457627118644068,importants/irl_matrix_2022q4/models/irl_h6m_t9m_fixed_seq.pth
6,12,6,306,True,15,244,62,0.8194594594594595,0.8947117271742033,0.6612903225806451,0.6538461538461539,0.918918918918919,0.7640449438202247,importants/irl_matrix_2022q4/models/irl_h6m_t12m_fixed_seq.pth
9,3,6,306,True,15,244,62,0.7910135841170323,0.7696794863066811,0.7258064516129032,0.7,0.7241379310344828,0.711864406779661,importants/irl_matrix_2022q4/models/irl_h9m_t3m_fixed_seq.pth
9,6,6,306,True,15,244,62,0.8497354497354499,0.8978589850416312,0.7419354838709677,0.8518518518518519,0.6571428571428571,0.7419354838709677,importants/irl_matrix_2022q4/models/irl_h9m_t6m_fixed_seq.pth
9,9,6,306,True,15,244,62,0.8547008547008548,0.9048809592567555,0.7741935483870968,0.7894736842105263,0.8333333333333334,0.8108108108108109,importants/irl_matrix_2022q4/models/irl_h9m_t9m_fixed_seq.pth
9,12,6,306,True,15,244,62,0.8454054054054054,0.9017917872924901,0.7419354838709677,0.723404255319149,0.918918918918919,0.8095238095238095,importants/irl_matrix_2022q4/models/irl_h9m_t12m_fixed_seq.pth
12,3,6,306,True,15,244,62,0.819226750261233,0.8005378521241201,0.7741935483870968,0.8,0.6896551724137931,0.7407407407407407,importants/irl_matrix_2022q4/models/irl_h12m_t3m_fixed_seq.pth
12,6,6,306,True,15,244,62,0.9005291005291005,0.9348377659157898,0.8387096774193549,0.9629629629629629,0.7428571428571429,0.8387096774193549,importants/irl_matrix_2022q4/models/irl_h12m_t6m_fixed_seq.pth
12,9,6,306,True,15,244,62,0.889957264957265,0.9358485215576782,0.8709677419354839,0.9375,0.8333333333333334,0.8823529411764706,importants/irl_matrix_2022q4/models/irl_h12m_t9m_fixed_seq.pth
12,12,6,306,True,15,244,62,0.8854054054054054,0.9313510628876285,0.8064516129032258,0.8378378378378378,0.8378378378378378,0.8378378378378378,importants/irl_matrix_2022q4/models/irl_h12m_t12m_fixed_seq.pth
