history_months,target_window,target_start,target_end,sequence_mode,seq_len,train_samples,test_samples,auc_roc,auc_pr,accuracy,precision,recall,f1,model_path
3,0-3m,0,3,True,15,53,14,0.7000000000000001,0.8962491674991674,0.6428571428571429,1.0,0.5,0.6666666666666666,importants/nova_paper_correct/models/irl_h3m_t0-3m_seq.pth
3,3-6m,3,6,True,15,53,14,0.787878787878788,0.9483211233211235,0.7857142857142857,1.0,0.7272727272727273,0.8421052631578947,importants/nova_paper_correct/models/irl_h3m_t3-6m_seq.pth
3,6-9m,6,9,True,15,53,14,0.625,0.5602032227032226,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222,importants/nova_paper_correct/models/irl_h3m_t6-9m_seq.pth
3,9-12m,9,12,True,15,53,14,0.6326530612244897,0.6450985522414094,0.5,0.5,0.2857142857142857,0.36363636363636365,importants/nova_paper_correct/models/irl_h3m_t9-12m_seq.pth
6,0-3m,0,3,True,15,81,21,0.6730769230769231,0.5902580971659919,0.6666666666666666,0.6666666666666666,0.25,0.36363636363636365,importants/nova_paper_correct/models/irl_h6m_t0-3m_seq.pth
6,3-6m,3,6,True,15,81,21,0.787037037037037,0.7603775853775854,0.6666666666666666,1.0,0.2222222222222222,0.36363636363636365,importants/nova_paper_correct/models/irl_h6m_t3-6m_seq.pth
6,6-9m,6,9,True,15,81,21,0.7090909090909091,0.7356714093440099,0.6190476190476191,0.6666666666666666,0.4,0.5,importants/nova_paper_correct/models/irl_h6m_t6-9m_seq.pth
6,9-12m,9,12,True,15,81,21,0.7222222222222222,0.7320902120373225,0.6666666666666666,0.75,0.3333333333333333,0.46153846153846156,importants/nova_paper_correct/models/irl_h6m_t9-12m_seq.pth
9,0-3m,0,3,True,15,96,24,0.7272727272727273,0.6908378794408205,0.625,1.0,0.18181818181818182,0.3076923076923077,importants/nova_paper_correct/models/irl_h9m_t0-3m_seq.pth
9,3-6m,3,6,True,15,96,24,0.888888888888889,0.934411663216011,0.625,1.0,0.25,0.4,importants/nova_paper_correct/models/irl_h9m_t3-6m_seq.pth
9,6-9m,6,9,True,15,96,24,0.4888888888888889,0.3351931687396308,0.5833333333333334,0.0,0.0,0.0,importants/nova_paper_correct/models/irl_h9m_t6-9m_seq.pth
9,9-12m,9,12,True,15,96,24,0.5142857142857143,0.4059552766074505,0.5833333333333334,0.5,0.1,0.16666666666666666,importants/nova_paper_correct/models/irl_h9m_t9-12m_seq.pth
12,0-3m,0,3,True,15,133,34,0.8106060606060606,0.6684263902115818,0.7058823529411765,1.0,0.16666666666666666,0.2857142857142857,importants/nova_paper_correct/models/irl_h12m_t0-3m_seq.pth
12,3-6m,3,6,True,15,133,34,0.8750000000000001,0.827851430976431,0.8235294117647058,1.0,0.25,0.4,importants/nova_paper_correct/models/irl_h12m_t3-6m_seq.pth
12,6-9m,6,9,True,15,133,34,0.758893280632411,0.6299874940529195,0.6764705882352942,0.0,0.0,0.0,importants/nova_paper_correct/models/irl_h12m_t6-9m_seq.pth
12,9-12m,9,12,True,15,133,34,0.7125,0.5417654030448948,0.7352941176470589,1.0,0.1,0.18181818181818182,importants/nova_paper_correct/models/irl_h12m_t9-12m_seq.pth
