learning_months,prediction_months,n_trajectories,n_test,continuation_rate,auc_roc,auc_pr,f1,precision,recall,tn,fp,fn,tp,model_path
3,3,255,461,54.880694143167034,0.3757221039829735,0.46483808264665344,0.6944045911047346,0.545045045045045,0.9565217391304348,6,202,11,242,importants/snapshot_irl_unified_2022/models/reward_model_h3m_t3m.pth
3,6,255,461,50.97613882863341,0.38713048390133686,0.4277175261975567,0.5968586387434555,0.5059171597633136,0.7276595744680852,59,167,64,171,importants/snapshot_irl_unified_2022/models/reward_model_h3m_t6m.pth
3,9,255,461,49.0238611713666,0.40741856524195064,0.4230053424890392,0.6579330422125182,0.49023861171366595,1.0,0,235,0,226,importants/snapshot_irl_unified_2022/models/reward_model_h3m_t9m.pth
3,12,255,461,47.722342733188725,0.38566578649566197,0.39441422109875246,0.642962962962963,0.47692307692307695,0.9863636363636363,3,238,3,217,importants/snapshot_irl_unified_2022/models/reward_model_h3m_t12m.pth
6,3,340,461,54.880694143167034,0.5303378686530861,0.5612285998553592,0.7024673439767779,0.555045871559633,0.9565217391304348,14,194,11,242,importants/snapshot_irl_unified_2022/models/reward_model_h6m_t3m.pth
6,6,340,461,50.97613882863341,0.5533891922425156,0.549921850870623,0.6752873563218391,0.5097613882863341,1.0,0,226,0,235,importants/snapshot_irl_unified_2022/models/reward_model_h6m_t6m.pth
6,9,340,461,49.0238611713666,0.5552061758614197,0.5636704055784475,0.6598540145985401,0.4923747276688453,1.0,2,233,0,226,importants/snapshot_irl_unified_2022/models/reward_model_h6m_t9m.pth
6,12,340,461,47.722342733188725,0.4814598264805734,0.4513646230049863,0.6461086637298091,0.4772234273318872,1.0,0,241,0,220,importants/snapshot_irl_unified_2022/models/reward_model_h6m_t12m.pth
9,3,387,461,54.880694143167034,0.6835664335664335,0.7612226744541213,0.7106741573033708,0.55119825708061,1.0,2,206,0,253,importants/snapshot_irl_unified_2022/models/reward_model_h9m_t3m.pth
9,6,387,461,50.97613882863341,0.7106100546036528,0.7782430029616136,0.6793002915451894,0.516629711751663,0.9914893617021276,8,218,2,233,importants/snapshot_irl_unified_2022/models/reward_model_h9m_t6m.pth
9,9,387,461,49.0238611713666,0.6996516663528525,0.7487622052550644,0.6789667896678967,0.5822784810126582,0.8141592920353983,103,132,42,184,importants/snapshot_irl_unified_2022/models/reward_model_h9m_t9m.pth
9,12,387,461,47.722342733188725,0.6890701622029423,0.7136656422423082,0.5372168284789643,0.9325842696629213,0.37727272727272726,235,6,137,83,importants/snapshot_irl_unified_2022/models/reward_model_h9m_t12m.pth
12,3,461,461,54.880694143167034,0.6490574642748556,0.7273115177637515,0.7091988130563798,0.5676959619952494,0.9446640316205533,26,182,14,239,importants/snapshot_irl_unified_2022/models/reward_model_h12m_t3m.pth
12,6,461,461,50.97613882863341,0.6759179062323479,0.7039884645988724,0.6567164179104478,0.584717607973422,0.7489361702127659,101,125,59,176,importants/snapshot_irl_unified_2022/models/reward_model_h12m_t6m.pth
12,9,461,461,49.0238611713666,0.6696761438523818,0.7202169793345473,0.6636500754147813,0.5034324942791762,0.9734513274336283,18,217,6,220,importants/snapshot_irl_unified_2022/models/reward_model_h12m_t9m.pth
12,12,461,461,47.722342733188725,0.6802055827989437,0.6902814873944296,0.6068376068376068,0.5725806451612904,0.6454545454545455,135,106,78,142,importants/snapshot_irl_unified_2022/models/reward_model_h12m_t12m.pth
