learning_months,prediction_months,project,n_trajectories,continuation_rate,auc_roc,auc_pr,f1,precision,recall,model_path,tn,fp,fn,tp
3,3,openstack/neutron,27,74.07407407407408,0.0,0.0,0.0,0.0,0.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h3m_t3m.pth,,,,
3,6,openstack/neutron,27,70.37037037037037,1.0,1.0,0.8,0.6666666666666666,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h3m_t6m.pth,0.0,2.0,0.0,4.0
3,9,openstack/neutron,27,70.37037037037037,0.4444444444444444,0.6666666666666667,0.6666666666666666,0.5,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h3m_t9m.pth,0.0,3.0,0.0,3.0
3,12,openstack/neutron,27,62.96296296296296,0.5,0.8166666666666667,0.8,0.6666666666666666,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h3m_t12m.pth,0.0,2.0,0.0,4.0
6,3,openstack/neutron,47,63.829787234042556,1.0,1.0,0.75,0.6,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h6m_t3m.pth,0.0,4.0,0.0,6.0
6,6,openstack/neutron,47,61.702127659574465,1.0,1.0,0.75,0.6,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h6m_t6m.pth,0.0,4.0,0.0,6.0
6,9,openstack/neutron,47,61.702127659574465,0.6666666666666667,0.8857142857142857,0.8235294117647058,0.7,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h6m_t9m.pth,0.0,3.0,0.0,7.0
6,12,openstack/neutron,47,57.446808510638306,0.9600000000000001,0.9666666666666666,0.6666666666666666,0.5,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h6m_t12m.pth,0.0,5.0,0.0,5.0
9,3,openstack/neutron,61,59.01639344262295,0.725,0.8409090909090909,0.7619047619047619,0.6153846153846154,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h9m_t3m.pth,0.0,5.0,0.0,8.0
9,6,openstack/neutron,61,57.377049180327866,0.7777777777777778,0.9216200466200468,0.7142857142857143,1.0,0.5555555555555556,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h9m_t6m.pth,4.0,0.0,4.0,5.0
9,9,openstack/neutron,61,57.377049180327866,0.7222222222222223,0.8872285122285124,0.8181818181818182,0.6923076923076923,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h9m_t9m.pth,0.0,4.0,0.0,9.0
9,12,openstack/neutron,61,54.09836065573771,0.8809523809523809,0.9242424242424242,0.631578947368421,0.46153846153846156,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h9m_t12m.pth,0.0,7.0,0.0,6.0
12,3,openstack/neutron,66,56.060606060606055,0.825,0.7875,0.4444444444444444,0.2857142857142857,1.0,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h12m_t3m.pth,0.0,10.0,0.0,4.0
12,6,openstack/neutron,66,54.54545454545454,0.8125,0.9089285714285714,0.5454545454545454,1.0,0.375,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h12m_t6m.pth,6.0,0.0,5.0,3.0
12,9,openstack/neutron,66,54.54545454545454,0.8444444444444444,0.9280303030303032,0.7142857142857143,1.0,0.5555555555555556,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h12m_t9m.pth,5.0,0.0,4.0,5.0
12,12,openstack/neutron,66,51.515151515151516,0.7777777777777779,0.7976190476190477,0.3333333333333333,1.0,0.2,importants/true_irl_comprehensive/models/project_openstack_neutron/irl_h12m_t12m.pth,9.0,0.0,4.0,1.0
